geom_id,neighbor_geom
0,[3]
1,"[2, 4, 12]"
2,"[1, 8, 10]"
3,[7]
4,"[1, 12]"
5,"[7, 11, 15]"
6,"[16, 23, 26]"
7,"[5, 11]"
8,"[2, 10]"
9,[21]
10,"[2, 8, 13, 20]"
11,"[5, 7, 19]"
12,"[1, 4, 13, 16, 17]"
13,"[10, 12, 17, 20, 29]"
14,"[15, 19]"
15,"[5, 14]"
16,"[6, 12, 17, 26, 28, 40]"
17,"[12, 13, 16, 29, 35, 40, 42]"
18,"[22, 24, 25]"
19,"[11, 14, 33, 38]"
20,"[10, 13, 21, 29, 30]"
21,"[9, 20, 24, 29, 30]"
22,[18]
23,"[6, 26]"
24,"[18, 21, 25, 30]"
25,"[18, 24, 27]"
26,"[6, 16, 23, 28]"
27,"[25, 34]"
28,"[16, 26, 31, 40]"
29,"[13, 17, 20, 21, 30, 35]"
30,"[20, 21, 24, 29, 32, 35, 36, 37]"
31,"[28, 33, 40]"
32,"[30, 34, 36, 37, 39]"
33,"[19, 31, 38, 44]"
34,"[27, 32, 39]"
35,"[17, 29, 30, 36, 42]"
36,"[30, 32, 35, 37, 42, 51]"
37,"[30, 32, 36, 39, 41, 51]"
38,"[19, 33]"
39,"[32, 34, 37, 41, 45]"
40,"[16, 17, 28, 31, 42, 43]"
41,"[37, 39, 45, 48, 53]"
42,"[17, 35, 36, 40, 43, 46, 51]"
43,"[40, 42, 44, 46]"
44,"[33, 43, 46]"
45,"[39, 41, 47, 60]"
46,"[42, 43, 44, 51, 61]"
47,"[45, 48, 60, 64]"
48,"[41, 47, 49, 57, 59, 64]"
49,"[48, 77, 81]"
50,"[51, 61]"
51,"[36, 37, 42, 46, 50]"
52,"[54, 64, 68, 72]"
53,"[41, 55, 57]"
54,"[52, 72, 85, 89]"
55,"[53, 57, 59, 61]"
56,[58]
57,"[48, 53, 55, 59]"
58,"[56, 60, 66]"
59,"[48, 55, 57, 67, 77]"
60,"[45, 47, 58, 64]"
61,"[46, 50, 55, 63]"
62,"[66, 68]"
63,"[61, 65]"
64,"[47, 48, 52, 60, 68]"
65,"[63, 69, 71]"
66,"[58, 62, 68]"
67,"[59, 73, 77]"
68,"[52, 62, 64, 66, 70, 76]"
69,"[65, 73]"
70,"[68, 72]"
71,"[65, 75]"
72,"[52, 54, 70, 89, 95]"
73,"[67, 69, 77, 79]"
74,"[76, 82]"
75,"[71, 79, 93]"
76,"[68, 74, 78, 82]"
77,"[49, 59, 67, 73, 79, 81, 83]"
78,"[76, 80]"
79,"[73, 75, 77, 81, 83, 93]"
80,"[78, 102, 108, 115]"
81,"[49, 77, 79, 83]"
82,"[74, 76, 84]"
83,"[77, 79, 81, 87, 93]"
84,[82]
85,"[54, 87, 89, 91]"
86,"[88, 92]"
87,"[83, 85, 89, 91]"
88,"[86, 90]"
89,"[54, 72, 85, 87, 91]"
90,"[88, 115, 120]"
91,"[85, 87, 89, 93]"
92,"[86, 94]"
93,"[75, 79, 83, 91, 97, 104, 111, 113]"
94,"[92, 96, 107]"
